<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.01	00:00:00	19753.61	19762.43	19722.88	19751.63	0	0	0
2024.07.01	02:00:00	19756.51	19761.63	19710.63	19760.88	0	0	0
2024.07.01	04:00:00	19760.93	19780.33	19754.48	19775.18	0	0	0
2024.07.01	06:00:00	19775.78	19783.08	19753.18	19758.43	0	0	0
2024.07.01	08:00:00	19758.38	19798.03	19756.08	19785.13	0	0	0
2024.07.01	10:00:00	19785.23	19793.88	19695.03	19704.58	0	0	0
2024.07.01	12:00:00	19705.33	19736.23	19679.88	19731.13	0	0	0
2024.07.01	14:00:00	19729.73	19767.73	19729.48	19754.73	0	0	0
2024.07.01	16:00:00	19755.48	19768.23	19589.73	19685.68	0	0	0
2024.07.01	18:00:00	19685.48	19802.43	19663.23	19790.01	0	0	0
2024.07.01	20:00:00	19789.93	19826.58	19754.03	19790.23	0	0	0
2024.07.01	22:00:00	19790.13	19850.03	19760.23	19818.78	0	0	0
2024.07.02	00:00:00	19828.11	19830.33	19805.53	19806.88	0	0	0
2024.07.02	02:00:00	19807.18	19808.23	19745.63	19762.28	0	0	0
2024.07.02	04:00:00	19762.23	19775.38	19738.38	19750.26	0	0	0
2024.07.02	06:00:00	19750.03	19766.83	19738.86	19758.88	0	0	0
2024.07.02	08:00:00	19758.93	19792.13	19752.63	19765.48	0	0	0
2024.07.02	10:00:00	19765.38	19765.38	19710.48	19734.93	0	0	0
2024.07.02	12:00:00	19735.23	19745.68	19716.53	19738.43	0	0	0
2024.07.02	14:00:00	19739.38	19740.43	19685.73	19722.23	0	0	0
2024.07.02	16:00:00	19721.83	19898.43	19719.68	19885.18	0	0	0
2024.07.02	18:00:00	19885.43	19930.63	19839.78	19901.33	0	0	0
2024.07.02	20:00:00	19901.28	20015.18	19894.48	19998.03	0	0	0
2024.07.02	22:00:00	19996.23	20035.43	19987.48	20018.73	0	0	0
2024.07.03	00:00:00	20019.69	20029.83	20008.63	20026.28	0	0	0
2024.07.03	02:00:00	20034.76	20034.76	20012.18	20023.23	0	0	0
2024.07.03	04:00:00	20023.08	20025.08	20011.13	20019.08	0	0	0
2024.07.03	06:00:00	20019.03	20025.38	20010.23	20023.08	0	0	0
2024.07.03	08:00:00	20023.28	20040.43	20019.38	20022.48	0	0	0
2024.07.03	10:00:00	20022.23	20059.93	20013.18	20045.33	0	0	0
2024.07.03	12:00:00	20045.26	20056.68	20034.73	20036.23	0	0	0
2024.07.03	14:00:00	20035.63	20043.03	19984.66	19998.18	0	0	0
