<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.01	01:00:00	19753.61	19760.08	19722.88	19729.68	0	0	0
2024.07.01	01:12:00	19729.78	19746.03	19727.48	19743.33	0	0	0
2024.07.01	01:24:00	19743.43	19762.38	19742.38	19761.58	0	0	0
2024.07.01	01:36:00	19761.68	19762.43	19749.68	19750.43	0	0	0
2024.07.01	01:48:00	19750.28	19756.38	19746.28	19751.63	0	0	0
2024.07.01	02:00:00	19756.51	19756.76	19726.73	19730.93	0	0	0
2024.07.01	02:12:00	19731.08	19735.63	19712.78	19731.63	0	0	0
2024.07.01	02:24:00	19731.23	19745.38	19729.18	19740.73	0	0	0
2024.07.01	02:36:00	19740.68	19745.33	19734.68	19738.88	0	0	0
2024.07.01	02:48:00	19738.68	19741.08	19720.83	19723.98	0	0	0
2024.07.01	03:00:00	19723.23	19741.83	19710.63	19739.13	0	0	0
2024.07.01	03:12:00	19738.93	19751.63	19734.83	19748.78	0	0	0
2024.07.01	03:24:00	19748.88	19756.78	19747.68	19752.58	0	0	0
2024.07.01	03:36:00	19752.63	19757.28	19750.08	19751.33	0	0	0
2024.07.01	03:48:00	19751.08	19761.63	19749.28	19760.88	0	0	0
2024.07.01	04:00:00	19760.93	19764.83	19754.48	19763.68	0	0	0
2024.07.01	04:12:00	19763.98	19764.68	19758.83	19763.83	0	0	0
2024.07.01	04:24:00	19763.98	19769.83	19762.28	19767.08	0	0	0
2024.07.01	04:36:00	19767.13	19770.63	19762.28	19767.63	0	0	0
2024.07.01	04:48:00	19767.58	19768.63	19759.93	19768.33	0	0	0
2024.07.01	05:00:00	19768.38	19776.33	19766.83	19773.53	0	0	0
2024.07.01	05:12:00	19773.68	19774.83	19769.51	19773.58	0	0	0
2024.07.01	05:24:00	19774.43	19778.83	19770.18	19777.98	0	0	0
2024.07.01	05:36:00	19778.13	19780.33	19775.33	19775.83	0	0	0
2024.07.01	05:48:00	19775.63	19777.88	19775.18	19775.18	0	0	0
2024.07.01	06:00:00	19775.78	19780.73	19774.78	19779.28	0	0	0
2024.07.01	06:12:00	19779.38	19783.08	19770.33	19770.33	0	0	0
2024.07.01	06:24:00	19770.38	19773.33	19764.68	19765.58	0	0	0
2024.07.01	06:36:00	19765.73	19777.88	19763.98	19777.23	0	0	0
2024.07.01	06:48:00	19777.38	19777.38	19772.73	19774.23	0	0	0
2024.07.01	07:00:00	19774.08	19774.68	19766.78	19768.33	0	0	0
2024.07.01	07:12:00	19768.58	19774.33	19768.43	19772.58	0	0	0
2024.07.01	07:24:00	19772.63	19773.78	19767.63	19768.93	0	0	0
