<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.01	00:00:00	19753.61	19798.03	19695.03	19704.58	0	0	0
2024.07.01	12:00:00	19705.33	19850.03	19589.73	19818.78	0	0	0
2024.07.02	00:00:00	19828.11	19830.33	19710.48	19734.93	0	0	0
2024.07.02	12:00:00	19735.23	20035.43	19685.73	20018.73	0	0	0
2024.07.03	00:00:00	20019.69	20059.93	20008.63	20045.33	0	0	0
2024.07.03	12:00:00	20045.26	20217.03	19984.66	20199.53	0	0	0
2024.07.04	00:00:00	20187.82	20202.38	20167.60	20184.38	0	0	0
2024.07.04	12:00:00	20184.68	20194.68	20153.63	20164.93	0	0	0
2024.07.05	00:00:00	20165.29	20244.23	20146.48	20213.58	0	0	0
2024.07.05	12:00:00	20214.08	20419.23	20155.23	20396.83	0	0	0
2024.07.08	00:00:00	20383.48	20403.13	20365.08	20387.68	0	0	0
2024.07.08	12:00:00	20387.43	20466.93	20368.98	20463.38	0	0	0
2024.07.09	00:00:00	20481.06	20537.78	20465.53	20524.33	0	0	0
2024.07.09	12:00:00	20524.28	20561.93	20406.48	20478.43	0	0	0
2024.07.10	00:00:00	20478.90	20522.83	20476.53	20522.53	0	0	0
2024.07.10	12:00:00	20522.43	20703.93	20492.23	20688.03	0	0	0
2024.07.11	00:00:00	20701.16	20701.16	20644.38	20671.68	0	0	0
2024.07.11	12:00:00	20671.78	20771.78	20170.48	20225.58	0	0	0
2024.07.12	00:00:00	20232.11	20262.58	20175.98	20239.63	0	0	0
2024.07.12	12:00:00	20239.98	20539.18	20140.98	20339.58	0	0	0
2024.07.15	00:00:00	20410.21	20443.88	20320.13	20438.78	0	0	0
2024.07.15	12:00:00	20438.63	20603.13	20321.13	20442.33	0	0	0
2024.07.16	00:00:00	20451.06	20473.23	20360.18	20420.68	0	0	0
2024.07.16	12:00:00	20420.78	20501.88	20284.73	20405.98	0	0	0
2024.07.17	00:00:00	20409.56	20412.78	20126.83	20165.43	0	0	0
2024.07.17	12:00:00	20165.58	20189.73	19788.18	19838.68	0	0	0
2024.07.18	00:00:00	19857.96	19988.08	19851.93	19953.58	0	0	0
2024.07.18	12:00:00	19954.33	19991.08	19588.18	19763.78	0	0	0
2024.07.19	00:00:00	19786.33	19810.83	19589.73	19672.08	0	0	0
2024.07.19	12:00:00	19670.98	19808.08	19495.48	19541.53	0	0	0
2024.07.22	00:00:00	19579.81	19678.43	19557.13	19653.13	0	0	0
2024.07.22	12:00:00	19653.38	19879.63	19646.93	19815.08	0	0	0
2024.07.23	00:00:00	19822.46	19839.16	19712.93	19764.43	0	0	0
2024.07.23	12:00:00	19764.56	19930.03	19749.48	19792.53	0	0	0
2024.07.24	00:00:00	19677.03	19704.43	19533.73	19596.13	0	0	0
2024.07.24	12:00:00	19596.23	19601.38	19023.98	19123.73	0	0	0
2024.07.25	00:00:00	19115.36	19156.91	18919.73	19055.03	0	0	0
2024.07.25	12:00:00	19055.13	19242.58	18740.48	18852.73	0	0	0
2024.07.26	00:00:00	18862.78	19081.48	18853.78	19080.08	0	0	0
2024.07.26	12:00:00	19078.73	19167.03	18903.23	19047.73	0	0	0
2024.07.29	00:00:00	19038.81	19206.63	19036.56	19121.68	0	0	0
2024.07.29	12:00:00	19123.08	19249.76	18987.68	19096.13	0	0	0
2024.07.30	00:00:00	19080.66	19126.68	18946.48	19115.88	0	0	0
2024.07.30	12:00:00	19115.08	19191.18	18600.48	18735.48	0	0	0
2024.07.31	00:00:00	18745.73	19119.08	18734.63	19086.93	0	0	0
2024.07.31	12:00:00	19087.43	19516.48	19066.13	19454.63	0	0	0
