<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.01	01:00:00	19753.61	19760.08	19722.88	19729.68	0	0	0
2024.07.01	01:15:00	19729.93	19759.23	19729.08	19757.23	0	0	0
2024.07.01	01:30:00	19758.48	19762.43	19751.13	19756.48	0	0	0
2024.07.01	01:45:00	19756.43	19758.63	19746.28	19751.63	0	0	0
2024.07.01	02:00:00	19756.51	19756.76	19724.93	19733.33	0	0	0
2024.07.01	02:15:00	19733.36	19745.38	19712.78	19741.18	0	0	0
2024.07.01	02:30:00	19741.63	19745.33	19737.18	19739.93	0	0	0
2024.07.01	02:45:00	19739.68	19741.08	19720.83	19723.98	0	0	0
2024.07.01	03:00:00	19723.23	19741.83	19710.63	19736.03	0	0	0
2024.07.01	03:15:00	19735.78	19754.78	19735.08	19752.23	0	0	0
2024.07.01	03:30:00	19752.41	19757.28	19749.28	19754.93	0	0	0
2024.07.01	03:45:00	19755.03	19761.63	19749.28	19760.88	0	0	0
2024.07.01	04:00:00	19760.93	19764.83	19754.48	19762.83	0	0	0
2024.07.01	04:15:00	19762.98	19769.03	19758.83	19762.38	0	0	0
2024.07.01	04:30:00	19762.43	19770.63	19762.28	19765.48	0	0	0
2024.07.01	04:45:00	19765.88	19768.63	19759.93	19768.33	0	0	0
2024.07.01	05:00:00	19768.38	19776.33	19766.83	19773.33	0	0	0
2024.07.01	05:15:00	19773.38	19777.33	19769.51	19772.68	0	0	0
2024.07.01	05:30:00	19773.63	19780.33	19773.33	19779.08	0	0	0
2024.07.01	05:45:00	19779.48	19779.48	19775.18	19775.18	0	0	0
2024.07.01	06:00:00	19775.78	19783.08	19774.78	19777.48	0	0	0
2024.07.01	06:15:00	19777.68	19777.68	19768.33	19771.73	0	0	0
2024.07.01	06:30:00	19771.88	19777.13	19763.98	19773.98	0	0	0
2024.07.01	06:45:00	19774.18	19777.88	19772.73	19774.23	0	0	0
2024.07.01	07:00:00	19774.08	19774.68	19766.78	19773.98	0	0	0
2024.07.01	07:15:00	19773.08	19773.83	19768.13	19768.68	0	0	0
2024.07.01	07:30:00	19768.53	19770.93	19761.11	19762.83	0	0	0
2024.07.01	07:45:00	19762.53	19763.63	19753.18	19758.43	0	0	0
2024.07.01	08:00:00	19758.38	19772.23	19756.08	19770.73	0	0	0
2024.07.01	08:15:00	19770.28	19776.68	19766.38	19775.73	0	0	0
2024.07.01	08:30:00	19776.73	19784.38	19775.98	19782.73	0	0	0
2024.07.01	08:45:00	19782.78	19786.48	19778.38	19785.58	0	0	0
2024.07.01	09:00:00	19785.68	19790.23	19782.53	19787.08	0	0	0
2024.07.01	09:15:00	19786.88	19798.03	19784.13	19791.83	0	0	0
2024.07.01	09:30:00	19792.48	19796.78	19778.48	19781.98	0	0	0
2024.07.01	09:45:00	19782.08	19793.13	19779.63	19785.13	0	0	0
2024.07.01	10:00:00	19785.23	19793.88	19773.73	19787.08	0	0	0
2024.07.01	10:15:00	19787.53	19788.03	19750.33	19750.68	0	0	0
2024.07.01	10:30:00	19750.58	19759.13	19726.38	19736.83	0	0	0
2024.07.01	10:45:00	19737.03	19749.58	19709.73	19723.43	0	0	0
2024.07.01	11:00:00	19724.23	19754.53	19723.48	19743.53	0	0	0
2024.07.01	11:15:00	19743.88	19759.08	19743.68	19757.83	0	0	0
