<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.01	00:00:00	19753.61	19762.43	19710.63	19760.88	0	0	0
2024.07.01	04:00:00	19760.93	19783.08	19753.18	19758.43	0	0	0
2024.07.01	08:00:00	19758.38	19798.03	19695.03	19704.58	0	0	0
2024.07.01	12:00:00	19705.33	19767.73	19679.88	19754.73	0	0	0
2024.07.01	16:00:00	19755.48	19802.43	19589.73	19790.01	0	0	0
2024.07.01	20:00:00	19789.93	19850.03	19754.03	19818.78	0	0	0
2024.07.02	00:00:00	19828.11	19830.33	19745.63	19762.28	0	0	0
2024.07.02	04:00:00	19762.23	19775.38	19738.38	19758.88	0	0	0
2024.07.02	08:00:00	19758.93	19792.13	19710.48	19734.93	0	0	0
2024.07.02	12:00:00	19735.23	19745.68	19685.73	19722.23	0	0	0
2024.07.02	16:00:00	19721.83	19930.63	19719.68	19901.33	0	0	0
2024.07.02	20:00:00	19901.28	20035.43	19894.48	20018.73	0	0	0
2024.07.03	00:00:00	20019.69	20034.76	20008.63	20023.23	0	0	0
2024.07.03	04:00:00	20023.08	20025.38	20010.23	20023.08	0	0	0
2024.07.03	08:00:00	20023.28	20059.93	20013.18	20045.33	0	0	0
2024.07.03	12:00:00	20045.26	20056.68	19984.66	19998.18	0	0	0
2024.07.03	16:00:00	19997.78	20205.38	19986.48	20193.73	0	0	0
2024.07.03	20:00:00	20195.98	20217.03	20187.98	20199.53	0	0	0
2024.07.04	00:00:00	20187.82	20196.83	20167.60	20189.98	0	0	0
2024.07.04	04:00:00	20189.78	20202.38	20182.83	20187.43	0	0	0
2024.07.04	08:00:00	20187.28	20194.78	20182.23	20184.38	0	0	0
2024.07.04	12:00:00	20184.68	20193.48	20181.63	20192.03	0	0	0
2024.07.04	16:00:00	20192.13	20194.68	20153.63	20164.93	0	0	0
2024.07.05	00:00:00	20165.29	20194.88	20146.48	20189.88	0	0	0
2024.07.05	04:00:00	20189.53	20212.08	20186.53	20207.68	0	0	0
