direction,zone,trigger,rr,rsi,k,trades,winrate,avg_r,sum_r,pf,h1_avg_r,h2_avg_r,pos_datasets,n_datasets
long,FIB,candle,2.5,14,3,272,0.2977941176470588,0.041447099673202537,11.27361111111109,1.0589542645061483,-0.12019547325102896,0.20072992700729927,5,10
long,BB,macd,2.5,9,3,607,0.2981878088962109,0.040100031553203595,24.340719152794584,1.0568496824467548,0.0033818990029221333,0.07154063434855165,6,10
long,FIB,candle,2.5,9,5,192,0.296875,0.0390625,7.5,1.0555555555555556,0.07058823529411765,0.014018691588785047,6,10
short,BB+FIB,candle+macd,1.5,14,3,65,0.4153846153846154,0.038461538461538464,2.5,1.0657894736842106,-0.10714285714285714,0.14864864864864866,3,9
long,SR,macd,1.5,14,5,216,0.41666666666666663,0.03791992500022717,8.19070380004907,1.0645907204400384,0.193593709719,-0.07327563551318197,6,10
long,BB+FIB,macd,1.5,14,3,99,0.4141414141414142,0.03535353535353535,3.5,1.0603448275862069,-0.07894736842105263,0.10655737704918032,6,10
long,SR+BB,macd,1.5,14,5,190,0.41578947368421054,0.035214230526574054,6.69070380004907,1.0598403176430333,0.18809065700865854,-0.080858611802416,6,10
long,SR,macd,1.5,14,3,477,0.41299790356394134,0.034232772180940146,16.32903233030845,1.0584911549600264,-0.014112688648119267,0.07492509056215618,5,10
long,SR,candle,1.5,9,3,1105,0.4135746606334841,0.03219861249296846,35.579466804730146,1.0547443340954428,0.023567548175481717,0.04050773657836421,8,10
long,SR+BB+FIB,candle+macd,1.5,14,3,133,0.41353383458646614,0.032132414369256325,4.273611111111091,1.0546313229053847,-0.08040598290598322,0.13970588235294118,6,10
long,SR,candle+macd,2.5,14,5,462,0.29653679653679654,0.030785575827448685,14.222936032281293,1.043326012059374,0.029971575215194803,0.03159957643970258,6,10
long,BB,macd,1.5,14,3,471,0.4118895966029724,0.030397497466425456,14.31722130668639,1.0517459791834611,0.04424147359018779,0.01896816834099376,7,10
long,SR+BB,candle+macd,2.5,9,3,603,0.29519071310116085,0.030074420685989662,18.134875673651766,1.0424838541266896,0.045649662333829874,0.013485721533666698,5,10
short,FIB,candle+macd,1.5,9,5,119,0.411764705882353,0.029411764705882353,3.5,1.05,-0.18269230769230768,0.19402985074626866,4,10
long,SR+FIB,candle,2.5,14,3,249,0.2931726907630522,0.025195225345827674,6.273611111111091,1.0355997257315794,-0.1550515232974912,0.204,5,10
long,SR+BB,macd,2.5,9,3,422,0.2938388625592417,0.024532062029423346,10.352530176416652,1.0345490325098077,0.004831284289888771,0.04161769228140908,4,10
long,FIB,candle+macd,1.5,14,3,222,0.4099099099099099,0.023755005005004912,5.273611111111091,1.0401871236095381,-0.038774209989806505,0.084070796460177,5,10
long,BB,candle,1.5,9,3,1068,0.4101123595505618,0.023606218912866822,25.211441798941767,1.039904872400235,0.03068795936013831,0.01703579546539833,6,10
short,BB+FIB,candle+macd,1.5,9,3,88,0.40909090909090906,0.022727272727272728,2.0,1.0384615384615385,-0.10256410256410256,0.12244897959183673,3,10
long,SR+BB+FIB,macd,1.5,14,3,88,0.40909090909090906,0.022727272727272728,2.0,1.0384615384615385,-0.140625,0.11607142857142858,6,10
