symbol,tf,direction,k,tol,ttol,bottoms,entry,tp,slatr,trades,winrate,avg_r,sum_r,pf,net05,risk_pct,h1,h2,q_pos,q_n
US100,M10,long,3,0.5,0.1,2,touch,1.5R,0.5,206,0.38349514563106796,-0.06622311135277374,-13.641960938671392,0.8946913522234015,-0.2389983788195307,0.0050530845118055496,-0.0617967158418157,-0.07031856140496857,1,4
US100,M10,long,3,0.5,0.1,2,touch,1.5R,1.0,198,0.3939393939393939,-0.02568996021104802,-5.086612121787508,0.9571146012270977,-0.17433297128942876,0.005761568935921052,-0.05739131614611187,0.004146610080776786,1,4
US100,M10,long,3,0.5,0.1,2,touch,2.5R,0.5,191,0.3089005235602094,-0.03292384839771126,-6.28845504396285,0.9520430888101719,-0.20591402608942028,0.005062008145736587,-0.0743592752173338,0.003998809164328632,2,4
US100,M10,long,3,0.5,0.1,2,touch,2.5R,1.0,184,0.31521739130434784,-0.03900251811790095,-7.176463333693776,0.9428704520657181,-0.1825587741033857,0.00587343294206526,0.05654151808979481,-0.128512194144058,1,4
US100,M10,long,3,0.5,0.1,2,touch,3.5R,0.5,185,0.2594594594594595,-0.10331228305790012,-19.11277236571152,0.86138615843162,-0.27078368879027703,0.005162721497041041,-0.17584127821172021,-0.0360718604673794,0,4
US100,M10,long,3,0.5,0.1,2,touch,3.5R,1.0,179,0.27932960893854747,-0.0918497595931506,-16.44110696717396,0.8720198424932996,-0.23544496912808635,0.005888209101033198,-0.023323781915753246,-0.1538147394078184,1,4
US100,M10,long,3,0.5,0.1,2,touch,measured,0.5,225,0.5777777777777777,0.03384169021470683,7.614380298309036,1.0808945877728144,-0.13856328525671102,0.004956938945524916,0.08745414835208468,-0.01743979148191548,1,4
US100,M10,long,3,0.5,0.1,2,touch,measured,1.0,224,0.6071428571428571,0.022719502453743774,5.089168549638606,1.0587599912279608,-0.12405459020712158,0.005679192520216718,0.07011258134688939,-0.023010661390519542,2,4
US100,M10,long,3,0.5,0.1,2,confirm,1.5R,0.5,155,0.3548387096774194,-0.13651595657258817,-21.159973268751166,0.7844136386894882,-0.2744307857254757,0.006167370141984794,-0.14931526249466195,-0.12451660727064398,0,4
US100,M10,long,3,0.5,0.1,2,confirm,1.5R,1.0,149,0.3691275167785235,-0.12295884817274466,-18.320868377738954,0.8011871209677985,-0.24452381889306696,0.006882028090611817,-0.03332688308612142,-0.20677055578621056,1,4
US100,M10,long,3,0.5,0.1,2,confirm,2.5R,0.5,145,0.27586206896551724,-0.2052387474160482,-29.759618375326987,0.7150725300970315,-0.3393516908977817,0.006214368711298858,-0.18022294408655873,-0.2279504635967689,0,4
US100,M10,long,3,0.5,0.1,2,confirm,2.5R,1.0,142,0.323943661971831,-0.07878960342481543,-11.188123686323792,0.8823936217492764,-0.19655510368199383,0.006953057971978241,0.07306744370528205,-0.21444856552770253,1,4
US100,M10,long,3,0.5,0.1,2,confirm,3.5R,0.5,141,0.2695035460992908,-0.17770807203463868,-25.05683815688405,0.7553305556106196,-0.3105450175773089,0.0062256158352479865,-0.11239991734190052,-0.23517924816424823,1,4
US100,M10,long,3,0.5,0.1,2,confirm,3.5R,1.0,134,0.291044776119403,-0.1596330280158262,-21.390825754120712,0.7714075451929427,-0.27814854181012516,0.0068366057447717,-0.05373679858484442,-0.2535972879334579,1,4
US100,M10,long,3,0.5,0.1,2,confirm,measured,0.5,168,0.6190476190476191,-0.03369992612490448,-5.661587588983953,0.91031777716309,-0.17448883129944068,0.005975101492470393,0.04516807793445803,-0.10712875749051785,1,4
US100,M10,long,3,0.5,0.1,2,confirm,measured,1.0,167,0.6407185628742516,-0.038939519643080185,-6.502899780394391,0.8892646420628789,-0.16122794799846515,0.006743342503686267,0.057319136938605325,-0.12960174270257468,2,4
US100,M10,long,3,0.5,0.1,3,touch,1.5R,0.5,29,0.5172413793103449,0.2931034482758608,8.499999999999964,1.6071428571428543,0.12356835244021118,0.004468277503103426,0.24999999999999542,0.34615384615384887,3,4
US100,M10,long,3,0.5,0.1,3,touch,1.5R,1.0,29,0.4482758620689655,0.12068965517241116,3.4999999999999236,1.2187499999999951,-0.027226329242388228,0.00509362953698512,0.093749999999995,0.15384615384615416,3,4
US100,M10,long,3,0.5,0.1,3,touch,2.5R,0.5,29,0.41379310344827586,0.3726055142704834,10.805559913844018,1.6356211714025892,0.2030704184348338,0.004468277503103426,0.3940974946152562,0.34615384615383993,3,4
US100,M10,long,3,0.5,0.1,3,touch,2.5R,1.0,29,0.3793103448275862,0.25090320798907606,7.276193031683206,1.4042329462046226,0.10298722357427667,0.00509362953698512,0.3922620644802004,0.07692307692307693,3,4
US100,M10,long,3,0.5,0.1,3,touch,3.5R,0.5,29,0.3103448275862069,0.24339731610078386,7.058522166922732,1.3529261083461368,0.07386222026513428,0.004468277503103426,0.20659749461525262,0.2886894040829762,3,4
US100,M10,long,3,0.5,0.1,3,touch,3.5R,1.0,29,0.27586206896551724,0.015405969732640822,0.44677312224658383,1.0214293068015199,-0.13251001468215862,0.00509362953698512,0.1004046211579106,-0.08920775509846038,3,4
US100,M10,long,3,0.5,0.1,3,touch,measured,0.5,29,0.5172413793103449,-0.06719120128827402,-1.9485448373599468,0.8608182259028608,-0.23672629712392357,0.004468277503103426,-0.09441352434804474,-0.03368680367624856,2,4
US100,M10,long,3,0.5,0.1,3,touch,measured,1.0,29,0.5172413793103449,-0.11866278267327335,-3.441220697524927,0.7541985216053622,-0.2665787670880727,0.00509362953698512,-0.14364978430546158,-0.08790954989519559,1,4
US100,M10,long,3,0.5,0.1,3,confirm,1.5R,0.5,20,0.5,0.2499999999999977,4.999999999999954,1.4999999999999951,0.11436166327285191,0.005867134408762397,0.24999999999999872,0.24999999999999672,2,4
US100,M10,long,3,0.5,0.1,3,confirm,1.5R,1.0,20,0.5,0.17962872108441139,3.592574421688228,1.3592574421688226,0.059072169313018084,0.0065883129273810554,0.10925744216882123,0.2500000000000015,2,4
US100,M10,long,3,0.5,0.1,3,confirm,2.5R,0.5,20,0.45,0.34564006525309143,6.912801305061828,1.628436482278348,0.2100017285259456,0.005867134408762397,0.2912801305061816,0.40000000000000124,2,4
US100,M10,long,3,0.5,0.1,3,confirm,2.5R,1.0,20,0.45,0.3442035242149113,6.884070484298226,1.625824589481657,0.223646972443518,0.0065883129273810554,0.2884070484298241,0.39999999999999836,2,4
US100,M10,long,3,0.5,0.1,3,confirm,3.5R,0.5,20,0.4,0.2962143070117605,5.92428614023521,1.4936905116862675,0.16057597028461468,0.005867134408762397,-0.03478289007625936,0.6272115040997803,2,4
US100,M10,long,3,0.5,0.1,3,confirm,3.5R,1.0,20,0.35,0.06100825536036962,1.2201651072073925,1.0980500561395936,-0.05954829641102364,0.0065883129273810554,-0.05832805782430746,0.1803445685450467,2,4
US100,M10,long,3,0.5,0.1,3,confirm,measured,0.5,19,0.631578947368421,-0.012967252236843994,-0.24637779250003589,0.9648031724999948,-0.15319527039632547,0.005632602347758251,-0.10977606893905906,0.07416068279514956,2,4
US100,M10,long,3,0.5,0.1,3,confirm,measured,1.0,19,0.631578947368421,-0.051457589336884636,-0.9776941974008081,0.860329400371313,-0.1759710589633554,0.0063551053751361615,-0.14452703926290467,0.032304915596533375,2,4
US100,M10,long,3,0.5,0.2,2,touch,1.5R,0.5,214,0.37383177570093457,-0.09356088660308677,-20.02202973306057,0.8533668769743954,-0.261104488245273,0.005187591347324193,-0.11978838015806723,-0.07055431330924425,0,4
US100,M10,long,3,0.5,0.2,2,touch,1.5R,1.0,207,0.3864734299516908,-0.05444609629102516,-11.270341932242209,0.9102817930004738,-0.19831964776292688,0.005918179362966407,-0.05939381641962716,-0.04991068617313999,1,4
US100,M10,long,3,0.5,0.2,2,touch,2.5R,0.5,200,0.31,-0.04863154959900969,-9.726309919801938,0.9299452559207421,-0.21520604828190276,0.005205139773122429,-0.13133365039292502,0.02324971557701017,2,4
US100,M10,long,3,0.5,0.2,2,touch,2.5R,1.0,193,0.31088082901554404,-0.07343201233508376,-14.172378380671166,0.893121258286797,-0.21237997863784205,0.006031122716558372,-6.426467407379906e-06,-0.14031472421455138,1,4
US100,M10,long,3,0.5,0.2,2,touch,3.5R,0.5,193,0.26424870466321243,-0.1050034897197375,-20.265673515909338,0.8581219735145666,-0.2667502588735305,0.0053128557591607655,-0.16400569114454241,-0.0523642708015292,1,4
US100,M10,long,3,0.5,0.2,2,touch,3.5R,1.0,186,0.27956989247311825,-0.09543657659114875,-17.75120324595367,0.866087408015146,-0.23554221020697524,0.00594145390552837,-0.029953767588631497,-0.15175179233331362,1,4
US100,M10,long,3,0.5,0.2,2,touch,measured,0.5,235,0.6,0.04750761917337196,11.164290505742409,1.1198743095827957,-0.11982705491039335,0.005079295803926265,0.09375602976630586,0.004670976574998738,2,4
US100,M10,long,3,0.5,0.2,2,touch,measured,1.0,234,0.6282051282051282,0.03544672125293076,8.294532773185798,1.0968768597324576,-0.10750070007906848,0.005812972898911317,0.07627073601563322,-0.0026781850957087296,2,4
US100,M10,long,3,0.5,0.2,2,confirm,1.5R,0.5,167,0.3532934131736527,-0.14195716189885763,-23.706846037109223,0.7766682246360879,-0.27839787282847817,0.0062801601439924,-0.13521506717203838,-0.14772539849846963,0,4
US100,M10,long,3,0.5,0.2,2,confirm,1.5R,1.0,161,0.36645962732919257,-0.1309937187045087,-21.089988711425903,0.7894187553364546,-0.2513184041376534,0.007013516236841391,-0.02217872008065508,-0.2235490048903152,1,4
US100,M10,long,3,0.5,0.2,2,confirm,2.5R,0.5,157,0.2802547770700637,-0.19305407439908348,-30.309489680656107,0.7304536368260555,-0.3259870125939635,0.006327934893451617,-0.15001826991677306,-0.2285836339135492,0,4
US100,M10,long,3,0.5,0.2,2,confirm,2.5R,1.0,154,0.3246753246753247,-0.07767889389322528,-11.962549659556695,0.8840073317429916,-0.19448447603113614,0.007084895927774038,0.09635541137594443,-0.2189538005234925,2,4
US100,M10,long,3,0.5,0.2,2,confirm,3.5R,0.5,152,0.26973684210526316,-0.17270021468559837,-26.250432632210952,0.7603897294799153,-0.3050515669716645,0.006283030850317527,-0.10862733935345521,-0.2232047164179935,1,4
US100,M10,long,3,0.5,0.2,2,confirm,3.5R,1.0,146,0.2876712328767123,-0.14504908555258833,-21.177166490677894,0.7917776654107426,-0.2624904380262527,0.006985239114080135,-0.025297360268971853,-0.24114614905178672,2,4
US100,M10,long,3,0.5,0.2,2,confirm,measured,0.5,178,0.6404494382022472,-0.00902295908990305,-1.606086718002743,0.9745588274180225,-0.1479618682961174,0.00612537657406885,0.08593804800075062,-0.0919888916006847,2,4
US100,M10,long,3,0.5,0.2,2,confirm,measured,1.0,177,0.6610169491525424,-0.016235222523416793,-2.873634386644772,0.9510659946897982,-0.1370405146433463,0.006911479952932361,0.09500663900130778,-0.11445941940163101,2,4
US100,M10,long,3,0.5,0.2,3,touch,1.5R,0.5,28,0.5357142857142857,0.3392857142857153,9.500000000000028,1.730769230769233,0.17124331591937228,0.004548937449994771,0.33333333333333154,0.3461538461538505,3,4
