symbol,tf,direction,variant,rr,trades,winrate,avg_r,sum_r,pf,gross_win,gross_loss,h1_sum_r,h2_sum_r,h1_trades,h2_trades
US100,M15,long,00_base_div,1.5,199,0.4020100502512563,-0.0028249714179362975,-0.5621693121693232,0.9953371002249163,120.0,120.56216931216932,-4.5,3.937830687830677,102,97
US100,M15,long,00_base_hid,1.5,76,0.4605263157894737,0.1513157894736842,11.5,1.2804878048780488,52.5,41.0,-1.5,13.0,34,42
US100,M15,long,02_fib_deep,1.5,52,0.3269230769230769,-0.18269230769230768,-9.5,0.7285714285714285,25.5,35.0,-8.5,-1.0,26,26
US100,M15,long,04a_hvn,1.5,35,0.4,0.0,0.0,1.0,21.0,21.0,-1.5,1.5,19,16
US100,M15,long,04b_avwap,1.5,11,0.36363636363636365,-0.09090909090909091,-1.0,0.8571428571428571,6.0,7.0,-1.5,0.5,9,2
US100,M15,long,05_triple_reg,1.5,116,0.39655172413793105,-0.022087666484218303,-2.562169312169323,0.9641965952570192,69.0,71.56216931216932,-8.5,5.937830687830677,56,60
US100,M15,long,05_triple_hid,1.5,369,0.4173441734417344,0.04314363143631423,15.919999999999952,1.074018969685698,231.0,215.08000000000004,9.0,6.919999999999952,191,178
US100,M15,long,06_ma200,1.5,396,0.4217171717171717,0.05409090909090897,21.419999999999952,1.0935044525929805,250.5,229.08000000000004,4.0,17.419999999999952,201,195
US100,M15,long,06_ma200_bb,1.5,48,0.4583333333333333,0.14583333333333334,7.0,1.2692307692307692,33.0,26.0,-2.5,9.5,20,28
US100,M15,long,10_wave5,1.5,156,0.3974358974358974,-0.007626536048809702,-1.1897396236143134,0.9873686918727183,93.0,94.18973962361432,-2.1897396236143134,1.0,77,79
US100,M15,long,11_mtf,1.5,21,0.2857142857142857,-0.2857142857142857,-6.0,0.6,9.0,15.0,0.0,-6.0,10,11
US100,M15,long,12_obv,1.5,487,0.4086242299794661,0.017415320208782108,8.481260941676886,1.0292438377230901,298.5,290.01873905832315,5.4812609416768865,3.0,235,252
US100,M15,long,12_obv_bb,1.5,333,0.3993993993993994,-0.006993992296422818,-2.3289994347087983,0.9884605312356898,199.5,201.8289994347088,3.1710005652912017,-5.5,160,173
US100,M15,long,03_reentry,1.5,289,0.3737024221453287,-0.0657439446366782,-19.0,0.8950276243093923,162.0,181.0,-12.0,-7.0,147,142
