symbol,tf,direction,zone,trigger,rr,rsi,k,trades,winrate,avg_r,sum_r,pf,gross_win,gross_loss,h1_avg_r,h2_avg_r,h1_sum_r,h2_sum_r,h1_trades,h2_trades
US100,M15,long,SR,candle,1.5,9,3,298,0.40268456375838924,0.0014692304960760936,0.4378306878306759,1.0024383236708925,180.0,179.56216931216932,-0.0728476821192053,0.07780837202605902,-11.0,11.437830687830676,151,147
US100,M15,long,SR,candle,2.5,9,3,293,0.3174061433447099,0.10558986582877364,30.937830687830676,1.1534902645342924,232.5,201.56216931216932,0.04054054054054054,0.17198503922641845,6.0,24.937830687830676,148,145
US100,M15,long,SR,macd,1.5,9,3,164,0.3780487804878049,-0.054878048780487805,-9.0,0.9117647058823529,93.0,102.0,-0.024390243902439025,-0.08536585365853659,-2.0,-7.0,82,82
US100,M15,long,SR,macd,2.5,9,3,163,0.294478527607362,0.02784265197992227,4.53835227272733,1.039306145045212,120.0,115.46164772727266,0.07454755892255963,-0.018292682926829267,6.03835227272733,-1.5,81,82
US100,M15,long,SR,candle+macd,1.5,9,3,236,0.3855932203389831,-0.04263631064478527,-10.062169312169324,0.9313453849694497,136.5,146.56216931216932,-0.09090909090909091,0.008155049459397181,-11.0,0.9378306878306759,121,115
US100,M15,long,SR,candle+macd,2.5,9,3,232,0.30603448275862066,0.06438720124064946,14.937830687830676,1.091889956630349,177.5,162.56216931216932,0.058823529411764705,0.07024628927283784,7.0,7.937830687830676,119,113
US100,M15,long,BB,candle,1.5,9,3,305,0.4,-0.00512186659727647,-1.5621693121693232,0.9915358097599782,183.0,184.56216931216932,-0.06451612903225806,0.05625220458553784,-10.0,8.437830687830676,155,150
US100,M15,long,BB,candle,2.5,9,3,298,0.30201342281879195,0.05180480096587475,15.437830687830676,1.0736670685291203,225.0,209.56216931216932,-0.08389261744966443,0.18750221938141393,-12.5,27.937830687830676,149,149
US100,M15,long,BB,macd,1.5,9,3,167,0.3712574850299401,-0.0718562874251497,-12.0,0.8857142857142857,93.0,105.0,-0.10919540229885058,-0.03125,-9.5,-2.5,87,80
US100,M15,long,BB,macd,2.5,9,3,165,0.296969696969697,0.036596074380165634,6.03835227272733,1.0518484186903128,122.5,116.46164772727266,0.023980614973262707,0.05,2.03835227272733,4.0,85,80
US100,M15,long,BB,candle+macd,1.5,9,3,254,0.3937007874015748,-0.021898304378619383,-5.562169312169323,0.9642447174865014,150.0,155.56216931216932,-0.09615384615384616,0.055950247482505454,-12.5,6.937830687830676,130,124
