detector,direction,zone,trigger,rr,trades,winrate,avg_r,sum_r,pf,h1_avg_r,h2_avg_r,pos_datasets
exhaust,long,BB,self,1.5,439,0.4510250569476082,0.12188496954621685,53.50750163078919,1.2197501031413915,0.22119815668202766,0.024808565904455824,8
wbottom,long,none,candle,2.5,2950,0.32440677966101694,0.11945629481273347,352.39606969756375,1.1733122085742052,0.1742395965661108,0.06415053650312502,10
exhaust,long,SR+BB,self,1.5,320,0.446875,0.1171875,37.5,1.2118644067796611,0.23355263157894737,0.011904761904761904,9
exhaust,long,SR+BB,candle,1.5,320,0.446875,0.1171875,37.5,1.2118644067796611,0.23355263157894737,0.011904761904761904,9
hidden,short,SR,candle,2.5,1295,0.3196911196911197,0.11065716340722864,143.30102661236108,1.1613595492367554,0.0933486700666494,0.12650621278269988,7
exhaust,long,SR,self,2.5,938,0.31982942430703626,0.10473456794415995,98.24102473162203,1.1509341031886686,0.1562808526176686,0.049073723961901114,7
exhaust,long,SR,candle,2.5,938,0.31982942430703626,0.10473456794415995,98.24102473162203,1.1509341031886686,0.1562808526176686,0.049073723961901114,7
wbottom,long,SR,candle,2.5,2454,0.3186634066829666,0.09775271067467396,239.8851519956499,1.1402322898425383,0.1620328967213767,0.034511816237457145,8
div,long,none,candle,2.5,1345,0.316728624535316,0.0964319841363577,129.7010186634011,1.1386733239867861,0.10738819294978709,0.08578100694676284,7
spring,long,BB,candle,2.5,2498,0.31265012009607684,0.09105201662239058,227.44793752273168,1.1320935034912218,0.06413423680139345,0.1168719732663745,10
spring,long,SR+BB,candle,2.5,2271,0.31219726992514313,0.08932695176578652,202.8615074601012,1.1294692046655226,0.06739690657019115,0.11059129741077839,10
keyrev,long,SR+BB,self,2.5,454,0.31277533039647576,0.08919279282740275,40.49352794364085,1.1291106247186953,0.052436654134379604,0.12405591150190111,6
keyrev,long,SR+BB,candle,2.5,454,0.31277533039647576,0.08919279282740275,40.49352794364085,1.1291106247186953,0.052436654134379604,0.12405591150190111,6
div,long,SR,candle,2.5,1079,0.31417979610750696,0.08766568343450701,94.59127242583307,1.1256344480566738,0.09997773698375118,0.07560213004864204,8
hidden,short,BB,candle,1.5,147,0.4421768707482993,0.08596132007739436,12.63631405137697,1.1508972226162781,-0.148153453913299,0.41602477193312604,5
pinbar,long,none,candle,2.5,7277,0.3115294764325959,0.08369090890089884,609.0187440718408,1.1206878231024435,0.09505591478598727,0.07213375629768666,9
spring,long,none,candle,2.5,4399,0.31279836326437827,0.0835418911138066,367.5007790096352,1.119908247016563,0.07105202788584966,0.09595815133996687,10
hidden,short,none,candle,2.5,1432,0.3121508379888268,0.08288916216108008,118.69728021466668,1.1192711005700962,0.06640290784972164,0.09852306590940232,7
spring,long,SR,candle,2.5,4224,0.3117897727272727,0.079519168518306,335.8889678213245,1.1138847842950657,0.07573554006098068,0.0833135612102183,10
pinbar,long,BB,candle,2.5,2057,0.3091881380651434,0.07907455387148166,162.65635731363776,1.1142039247959394,0.11978571125506654,0.041005983373566875,7
