symbol,tf,direction,k,tol,bottoms,entry,tp,trades,winrate,avg_r,sum_r,pf,net05_avg_r,risk_pct,h1_avg_r,h2_avg_r,h1_n,h2_n
US100,M10,long,3,0.5,2,touch,1.5R,214,0.37383177570093457,-0.09356088660308677,-20.02202973306057,0.8533668769743954,-0.261104488245273,0.005187591347324193,-0.11978838015806723,-0.07055431330924425,100,114
US100,M10,long,3,0.5,2,touch,2.5R,200,0.31,-0.04863154959900969,-9.726309919801938,0.9299452559207421,-0.21520604828190276,0.005205139773122429,-0.13133365039292502,0.02324971557701017,93,107
US100,M10,long,3,0.5,2,touch,3.5R,193,0.26424870466321243,-0.1050034897197375,-20.265673515909338,0.8581219735145666,-0.2667502588735305,0.0053128557591607655,-0.16400569114454241,-0.0523642708015292,91,102
US100,M10,long,3,0.5,2,touch,measured,235,0.6,0.04750761917337196,11.164290505742409,1.1198743095827957,-0.11982705491039335,0.005079295803926265,0.09375602976630586,0.004670976574998738,113,122
US100,M10,long,3,0.5,2,confirm,1.5R,167,0.3532934131736527,-0.14195716189885763,-23.706846037109223,0.7766682246360879,-0.27839787282847817,0.0062801601439924,-0.13521506717203838,-0.14772539849846963,77,90
US100,M10,long,3,0.5,2,confirm,2.5R,157,0.2802547770700637,-0.19305407439908348,-30.309489680656107,0.7304536368260555,-0.3259870125939635,0.006327934893451617,-0.15001826991677306,-0.2285836339135492,71,86
US100,M10,long,3,0.5,2,confirm,3.5R,152,0.26973684210526316,-0.17270021468559837,-26.250432632210952,0.7603897294799153,-0.3050515669716645,0.006283030850317527,-0.10862733935345521,-0.2232047164179935,67,85
US100,M10,long,3,0.5,2,confirm,measured,178,0.6404494382022472,-0.00902295908990305,-1.606086718002743,0.9745588274180225,-0.1479618682961174,0.00612537657406885,0.08593804800075062,-0.0919888916006847,83,95
US100,M10,long,3,0.5,3,touch,1.5R,28,0.5357142857142857,0.3392857142857153,9.500000000000028,1.730769230769233,0.17124331591937228,0.004548937449994771,0.33333333333333154,0.3461538461538505,15,13
US100,M10,long,3,0.5,3,touch,2.5R,28,0.42857142857142855,0.4206562381200875,11.778374667362451,1.736148416710153,0.2526138397537446,0.004548937449994771,0.4852249778241686,0.3461538461538401,15,13
US100,M10,long,3,0.5,3,touch,3.5R,28,0.32142857142857145,0.23371457268301005,6.544008035124281,1.344421475532857,0.06567217431666697,0.004548937449994771,0.1862844459649781,0.28844164197304695,15,13
US100,M10,long,3,0.5,3,touch,measured,28,0.5357142857142857,-0.052575127751831915,-1.4721035770512936,0.8867612633037466,-0.2206175261181749,0.004548937449994771,-0.0569234370151839,-0.047557847832579596,15,13
US100,M10,long,3,0.5,3,confirm,1.5R,19,0.5263157894736842,0.3157894736842081,5.999999999999955,1.6666666666666614,0.1793289397610115,0.005922242523417142,0.38888888888888745,0.24999999999999672,9,10
US100,M10,long,3,0.5,3,confirm,2.5R,19,0.47368421052631576,0.4164632265822015,7.912801305061828,1.7912801305061827,0.2800026926590049,0.005922242523417142,0.434755700562424,0.40000000000000124,9,10
US100,M10,long,3,0.5,3,confirm,3.5R,19,0.42105263157894735,0.3644361126439584,6.92428614023521,1.629480558203201,0.22797557872076174,0.005922242523417142,0.07246345547082295,0.6272115040997803,9,10
