symbol,tf,direction,level,closeback,depth_cap,div,entry,rr,trades,winrate,avg_r,sum_r,pf,gross_win,gross_loss,risk_pct,h1_sum_r,h2_sum_r,h1_trades,h2_trades
US100,M15,long,piv3,1,none,False,next_open,1.5,1387,0.3727469358327325,-0.08526315043363586,-118.25998965145294,0.8676826094021374,775.5,893.759989651453,0.0012870934742792899,-80.82201563623286,-37.43797401522008,692,695
US100,M15,long,piv3,1,none,False,next_open,2.5,1320,0.2878787878787879,-0.011084926763776308,-14.632103328184726,0.9848176895852706,949.1278863232683,963.759989651453,0.0012987678004134757,-39.82201563623286,25.18991230804814,679,641
US100,M15,long,piv3,1,none,False,next_open,3.5,1238,0.23667205169628433,0.03958455646354422,49.00568090186774,1.0505316228527963,1018.8079182973731,969.8022373955055,0.001294960329504945,-30.864263380285315,79.86994428215304,636,602
US100,M15,long,piv3,1,none,False,break,1.5,852,0.352112676056338,-0.12323494573014127,-104.99617376208036,0.810816400678303,450.0,554.9961737620804,0.0023815989604222877,-100.3273219116321,-4.668851850448272,425,427
US100,M15,long,piv3,1,none,False,break,2.5,784,0.2729591836734694,-0.054274029951128566,-42.5508394816848,0.9260887386970115,533.1508699946812,575.7017094763661,0.0024115260981073965,-66.03285762591779,23.48201814423299,399,385
US100,M15,long,piv3,1,none,False,break,3.5,709,0.21297602256699577,-0.06555574171143579,-46.479020873407976,0.9177468890601601,518.5940850836769,565.0731059570849,0.0024039482081569907,-58.604945444578846,12.125924571170865,360,349
US100,M15,long,piv3,1,none,True,next_open,1.5,411,0.36496350364963503,-0.14115309116560348,-58.01392046906303,0.7950138976453469,225.0,283.013920469063,0.0019232877901567227,-30.322015636232862,-27.69190483283017,189,222
US100,M15,long,piv3,1,none,True,next_open,2.5,400,0.285,-0.05971508536448706,-23.886034145794824,0.9224514459949744,284.1278863232682,308.013920469063,0.0019047394152077286,-21.322015636232866,-2.564018509561958,188,212
US100,M15,long,piv3,1,none,True,next_open,3.5,387,0.23772609819121446,-0.004408274345451978,-1.7060021716899154,0.9946185259966955,315.30791829737313,317.013920469063,0.001918572094096371,-13.322015636232864,11.616013464542949,183,204
US100,M15,long,piv3,1,none,True,break,1.5,288,0.3298611111111111,-0.17886220947668324,-51.51231632928477,0.7344894525053957,142.5,194.01231632928477,0.0030160032183785216,-38.0,-13.512316329284772,138,150
US100,M15,long,piv3,1,none,True,break,2.5,282,0.26595744680851063,-0.08107016070090135,-22.86178531765418,0.8903578045015589,185.65086999468127,208.51265531233543,0.003004175955805335,-19.500338983050668,-3.361446334603511,138,144
US100,M15,long,piv3,1,none,True,break,3.5,265,0.18867924528301888,-0.18059360917822098,-47.85730643222856,0.7784714770345874,168.17494888010688,216.03225531233545,0.0030327270556626653,-37.50033898305067,-10.356967449177894,127,138
US100,M15,long,piv3,1,1.0,False,next_open,1.5,1358,0.37187039764359353,-0.08653455115542197,-117.51392046906304,0.8657005131917579,757.5,875.0139204690631,0.0012200950603785253,-90.82201563623286,-26.691904832830172,672,686
US100,M15,long,piv3,1,1.0,False,next_open,2.5,1299,0.2848344880677444,-0.020697485870511796,-26.886034145794824,0.9717290845411243,924.1278863232683,951.0139204690631,0.0012290541077205849,-66.32201563623286,39.43598149043804,667,632
US100,M15,long,piv3,1,1.0,False,next_open,3.5,1239,0.23486682808716708,0.03468589080595045,42.97581870857261,1.0442118852724658,1015.0180296146273,972.0422109060548,0.001231995808048143,-51.364263380285315,94.34008208885791,634,605
US100,M15,long,piv3,1,1.0,False,break,1.5,839,0.3504171632896305,-0.12555380004876862,-105.33963824091687,0.807190196596232,441.0,546.3396382409169,0.002303561710164537,-107.3273219116321,1.9876836707152297,417,422
US100,M15,long,piv3,1,1.0,False,break,2.5,783,0.2707535121328225,-0.059890554227996544,-46.89430396052129,0.9184510955235413,528.1508699946812,575.0451739552026,0.002334083512408775,-76.03285762591779,29.138553665396486,402,381
US100,M15,long,piv3,1,1.0,False,break,3.5,711,0.21378340365682139,-0.05924302955598062,-42.12179401430222,0.9253710889781818,522.2947764216192,564.4165704359214,0.0023288686837797355,-64.40425410663659,22.282460092334368,366,345
US100,M15,long,piv3,1,1.0,True,next_open,1.5,398,0.36432160804020103,-0.14450733786196743,-57.51392046906303,0.7908690572063864,217.5,275.013920469063,0.0018016849636152505,-32.32201563623286,-25.19190483283017,181,217
US100,M15,long,piv3,1,1.0,True,next_open,2.5,387,0.27906976744186046,-0.0823928530899091,-31.88603414579482,0.8940712306722974,269.1278863232682,301.013920469063,0.00177905710554922,-30.822015636232862,-1.0640185095619579,180,207
US100,M15,long,piv3,1,1.0,True,next_open,3.5,379,0.23218997361477572,-0.025018294320250514,-9.481933547374945,0.9698027558605703,304.5180296146273,313.99996316200225,0.0017889481130154046,-20.822015636232862,11.340082088857915,177,202
US100,M15,long,piv3,1,1.0,True,break,1.5,279,0.3225806451612903,-0.197176761036863,-55.01231632928477,0.7104802604797978,135.0,190.01231632928477,0.0028842126954428293,-41.0,-14.01231632928477,131,148
US100,M15,long,piv3,1,1.0,True,break,2.5,273,0.2600732600732601,-0.10205782167638894,-27.86178531765418,0.8630955638857247,175.65086999468127,203.51265531233543,0.0028690990281049077,-23.000338983050668,-4.86144633460351,131,142
US100,M15,long,piv3,1,1.0,True,break,3.5,261,0.18773946360153257,-0.174806937330429,-45.62461064324197,0.7863142558154207,167.88804466909346,213.51265531233543,0.0029009870976473458,-34.50033898305067,-11.124271660191306,124,137
US100,M15,long,piv3,2,none,False,next_open,1.5,1567,0.37906828334396936,-0.06761228933847378,-105.94845739338842,0.893727246772215,891.0,996.9484573933885,0.001407352934205711,-67.01048337816835,-38.93797401522008,778,789
US100,M15,long,piv3,2,none,False,next_open,2.5,1467,0.29175187457396046,0.004212289659086433,6.179428929879798,1.0058134793713642,1069.1278863232683,1062.9484573933885,0.001428341283669531,-17.010483378168338,23.189912308048136,754,713
US100,M15,long,piv3,2,none,False,next_open,3.5,1325,0.23849056603773586,0.05051099612722503,66.92706986857317,1.0647269550258451,1100.917775006014,1033.990705137441,0.001444376973843925,-8.052731122220793,74.97980099079396,685,640
US100,M15,long,piv3,2,none,False,break,1.5,995,0.3587939698492462,-0.10831337928780287,-107.77181239136385,0.8324630268024305,535.5,643.2718123913639,0.002407233118691235,-89.60296054091557,-18.16885185044827,497,498
US100,M15,long,piv3,2,none,False,break,2.5,898,0.2828507795100223,-0.02096489767368404,-18.826478110968267,0.97112403035831,633.1508699946812,651.9773481056495,0.0024386917367794896,-47.808496255201256,28.982018144232985,452,446
US100,M15,long,piv3,2,none,False,break,3.5,802,0.22443890274314215,-0.009152850114367376,-7.340585791722635,0.9883311085433315,621.7325201653623,629.0731059570849,0.0024213841328560503,-24.10494544457885,16.764359652856214,402,400
US100,M15,long,piv3,2,none,True,next_open,1.5,441,0.3741496598639456,-0.11454403734481412,-50.51392046906303,0.8304981177068643,247.5,298.013920469063,0.001962321786872331,-28.322015636232862,-22.19190483283017,202,239
US100,M15,long,piv3,2,none,True,next_open,2.5,427,0.2810304449648712,-0.07014784596576971,-29.953130227383667,0.9089794648705501,299.1278863232682,329.0810165506519,0.0019508945958344296,-20.389111717821713,-9.564018509561958,201,226
US100,M15,long,piv3,2,none,True,next_open,3.5,412,0.23058252427184467,-0.03221625789630767,-13.27309825327876,0.9608556728173663,325.80791829737313,339.0810165506519,0.001966757408450262,-20.88911171782171,7.616013464542949,195,217
US100,M15,long,piv3,2,none,True,break,1.5,312,0.33653846153846156,-0.16189844977334863,-50.51231632928477,0.757166704257437,157.5,208.01231632928477,0.003025698451584382,-39.0,-11.512316329284772,149,163
US100,M15,long,piv3,2,none,True,break,2.5,305,0.26229508196721313,-0.09298946005788256,-28.361785317654178,0.8747894007134107,198.15086999468127,226.51265531233543,0.003022416712336266,-26.000338983050668,-2.361446334603512,148,157
US100,M15,long,piv3,2,none,True,break,3.5,287,0.1916376306620209,-0.16500803634922848,-47.35730643222857,0.796777890817067,185.67494888010688,233.03225531233545,0.003048775130739285,-43.00033898305067,-4.356967449177898,137,150
US100,M15,long,piv3,2,1.0,False,next_open,1.5,1508,0.3726790450928382,-0.08290047776463066,-125.01392046906304,0.8708552451306836,843.0,968.0139204690631,0.0012626335885302827,-85.32201563623286,-39.691904832830176,744,764
