family,symbol,tf,direction,p1,p2,p3,p4,p5,trades,winrate,avg_r,sum_r,pf,net05,risk_pct,h1,h2,q_pos
G.DONCH,US100,H4,long,N20,tr2.0,,,,74,0.43243243243243246,0.08278641485732473,6.1261946994420295,1.2241060434439819,0.03827956522665346,0.013190410769191719,0.1651961274524585,0.016456646183192643,3
G.DONCH,US100,H4,short,N20,tr2.0,,,,57,0.3684210526315789,-0.12543052943250588,-7.149540177652835,0.733171806752965,-0.16444610176874425,0.014182126762063468,0.09886293289595185,-0.34198973443929276,2
G.DONCH,US100,H4,long,N20,tr3.0,,,,53,0.4339622641509434,0.1544933095690506,8.188145407159682,1.485784395378708,0.12657905470603242,0.021264536224415292,0.2059655653620561,0.11189558063690817,3
G.DONCH,US100,H4,short,N20,tr3.0,,,,49,0.2653061224489796,-0.23932264779381474,-11.726809741896922,0.47762821754927554,-0.26540681738680894,0.02139680785879549,-0.12092935603637635,-0.36264899337447964,0
G.DONCH,US100,H4,long,N55,tr2.0,,,,47,0.48936170212765956,0.1702160853494307,8.000156011423243,1.5286229622198948,0.12175151566709501,0.01141379596052255,0.3129953181603466,0.07333017737059491,3
G.DONCH,US100,H4,short,N55,tr2.0,,,,29,0.3103448275862069,-0.1364926340178665,-3.9582863865181284,0.7025578964646275,-0.16943485850811008,0.016205351718884185,0.41808160678187883,-0.5870842046676596,2
G.DONCH,US100,H4,long,N55,tr3.0,,,,36,0.4444444444444444,0.11771565915901563,4.237763729724563,1.3828727848092603,0.08692161382674307,0.017960784681802303,0.15582038127442566,0.08723188146668766,3
G.DONCH,US100,H4,short,N55,tr3.0,,,,25,0.28,-0.29486346440634437,-7.37158661015861,0.36497825904507836,-0.3167129780810642,0.024575602358257728,0.15441185031792434,-0.647865497403984,2
H.IGNPB,US100,H4,long,pb0.4,mid,t20,,,73,0.1506849315068493,0.5594955761837146,40.84317706141116,1.6669767715507355,0.3358163151935895,0.003789531933400267,0.6331790366896504,0.4878035605563177,3
H.IGNPB,US100,H4,short,pb0.4,mid,t20,,,81,0.08641975308641975,-0.1502601274077041,-12.171070320024032,0.8334867111063724,-0.386423507631991,0.0038300452274663025,-0.34661459089798163,0.08324247782397735,2
H.IGNPB,US100,H4,long,pb0.4,mid,2.5R,,,82,0.2804878048780488,-0.018292682926828983,-1.4999999999999765,0.9745762711864412,-0.24251185483033397,0.0036242505813125453,-0.19230769230769063,0.1395348837209293,3
H.IGNPB,US100,H4,short,pb0.4,mid,2.5R,,,89,0.2247191011235955,-0.21348314606741417,-18.99999999999986,0.7246376811594224,-0.4455446703384658,0.0037616963595207163,-0.29999999999999705,-0.12499999999999983,1
H.IGNPB,US100,H4,long,pb0.4,mid,3.5R,,,79,0.22784810126582278,0.015175577745347252,1.1988706418824329,1.01939884682261,-0.20884653449600746,0.0036738182833865275,-0.1710526315789486,0.18777733272884095,1
H.IGNPB,US100,H4,short,pb0.4,mid,3.5R,,,89,0.20224719101123595,-0.08988764044943998,-8.000000000000158,0.8873239436619695,-0.3219491647204917,0.0037616963595207163,-0.20000000000000295,0.02272727272727212,2
