Date,Open,High,Low,Close,Volume
2010-03-11,0.584489,0.600864,0.584489,0.600864,3702000
2010-03-12,0.601319,0.605260,0.586006,0.586006,4548000
2010-03-15,0.574179,0.580396,0.558714,0.567508,534000
2010-03-16,0.574634,0.614207,0.573724,0.613600,1260000
2010-03-17,0.636798,0.643166,0.624214,0.635736,2610000
2010-03-18,0.635736,0.637555,0.611478,0.620271,1584000
2010-03-19,0.612538,0.612842,0.581912,0.592070,1596000
2010-03-22,0.580396,0.637101,0.577060,0.634826,3804000
2010-03-23,0.643773,0.678190,0.643469,0.675763,6114000
2010-03-24,0.669244,0.669244,0.634978,0.638314,2034000
2010-03-25,0.665908,0.675460,0.634523,0.635130,2034000
2010-03-26,0.652111,0.655447,0.612690,0.625123,2322000
2010-03-29,0.645288,0.649230,0.637404,0.641953,1380000
2010-03-30,0.651960,0.661057,0.635130,0.654234,1920000
2010-03-31,0.659237,0.664089,0.640588,0.644075,1080000
2010-04-01,0.662118,0.688803,0.635433,0.646198,1644000
2010-04-05,0.670760,0.703509,0.627852,0.700932,1500000
2010-04-06,0.687589,0.700174,0.679706,0.690319,1998000
2010-04-07,0.693957,0.711546,0.674853,0.697141,3414000
2010-04-08,0.684557,0.684557,0.650140,0.672428,4470000
2010-04-09,0.680161,0.690622,0.664696,0.690319,1254000
2010-04-12,0.700780,0.725494,0.692442,0.707603,2400000
2010-04-13,0.711546,0.724736,0.702449,0.721249,2904000
2010-04-14,0.765977,0.816617,0.765977,0.814039,6504000
2010-04-15,0.828595,0.839815,0.811765,0.821014,12666000
2010-04-16,0.811159,0.811159,0.753695,0.790690,4452000
2010-04-19,0.764157,0.787355,0.720339,0.764005,5712000
2010-04-20,0.786293,0.806611,0.780835,0.801000,2922000
2010-04-21,0.806611,0.824350,0.740505,0.775983,5772000
2010-04-22,0.760821,0.822378,0.725342,0.819801,6594000
2010-04-23,0.833295,0.833295,0.790236,0.823440,3600000
2010-04-26,0.830869,0.853309,0.824956,0.830718,3846000
2010-04-27,0.795997,0.824653,0.742324,0.744750,5112000
2010-04-28,0.759911,0.799788,0.721856,0.759609,6864000
2010-04-29,0.759911,0.788416,0.750966,0.785687,5838000
2010-04-30,0.765674,0.765674,0.678038,0.679706,10104000
2010-05-03,0.689258,0.740505,0.689258,0.729740,4926000
2010-05-04,0.714578,0.714578,0.601622,0.633159,19164000
2010-05-05,0.623152,0.642104,0.583580,0.612842,7920000
2010-05-06,0.606474,0.632856,0.379047,0.560685,17448000
2010-05-07,0.545827,0.562353,0.467894,0.526571,12372000
2010-05-10,0.618603,0.621030,0.588431,0.618603,7206000
2010-05-11,0.585551,0.639072,0.578121,0.606777,27720000
2010-05-12,0.616784,0.659237,0.616784,0.656053,42330000
2010-05-13,0.638465,0.664847,0.596315,0.604655,28992000
2010-05-14,0.590402,0.590402,0.516413,0.549465,15846000
2010-05-17,0.537791,0.577514,0.518535,0.572208,19140000
2010-05-18,0.586308,0.596163,0.517777,0.525510,16128000
2010-05-19,0.522932,0.549617,0.497309,0.533848,21306000
2010-05-20,0.492760,0.524145,0.458797,0.490334,10638000
2010-05-21,0.470018,0.544917,0.458342,0.522326,11220000
2010-05-24,0.512015,0.532029,0.491547,0.491547,10944000
2010-05-25,0.449700,0.502767,0.432113,0.502615,10818000
2010-05-26,0.527935,0.549162,0.497157,0.500038,14250000
2010-05-27,0.538852,0.576909,0.531271,0.576150,10578000
2010-05-28,0.582822,0.582822,0.525055,0.548404,9288000
2010-06-01,0.544917,0.565082,0.511105,0.511105,4530000
2010-06-02,0.529300,0.566295,0.513229,0.565688,11094000
2010-06-03,0.575847,0.594041,0.559472,0.587370,9102000
2010-06-04,0.572208,0.573573,0.502615,0.510955,13650000
2010-06-07,0.518383,0.525813,0.450307,0.453946,18312000
2010-06-08,0.456523,0.458646,0.415586,0.448942,12504000
2010-06-09,0.461223,0.489879,0.434387,0.439997,8634000
2010-06-10,0.463346,0.490031,0.456220,0.488363,9504000
2010-06-11,0.471230,0.511409,0.466985,0.509286,6510000
2010-06-14,0.533848,0.548101,0.517778,0.518990,6924000
2010-06-15,0.530664,0.609203,0.530664,0.605413,14508000
2010-06-16,0.592525,0.627398,0.576757,0.613752,14226000
2010-06-17,0.625881,0.627246,0.578728,0.609809,8724000
2010-06-18,0.612690,0.620878,0.597377,0.605716,4656000
2010-06-21,0.632856,0.648776,0.578576,0.589644,9054000
2010-06-22,0.592525,0.615874,0.553407,0.558562,9888000
2010-06-23,0.564021,0.584489,0.533545,0.563414,8076000
2010-06-24,0.553559,0.555530,0.507467,0.514289,11754000
2010-06-25,0.520203,0.521719,0.488212,0.515958,8718000
2010-06-28,0.510803,0.538852,0.502918,0.522022,4248000
2010-06-29,0.495489,0.495489,0.441968,0.450914,23970000
2010-06-30,0.453491,0.468198,0.425442,0.429081,10842000
2010-07-01,0.432113,0.442422,0.395269,0.430748,10716000
2010-07-02,0.431658,0.438026,0.404214,0.425442,7032000
2010-07-06,0.450914,0.459404,0.413766,0.424683,24060000
2010-07-07,0.424835,0.492154,0.424835,0.491396,13650000
2010-07-08,0.509590,0.509590,0.464559,0.487757,14706000
2010-07-09,0.489879,0.506102,0.479570,0.504587,7512000
2010-07-12,0.507012,0.529603,0.501251,0.523841,8718000
2010-07-13,0.542794,0.562808,0.533393,0.557501,11688000
2010-07-14,0.582215,0.588280,0.541581,0.552346,16902000
2010-07-15,0.544917,0.550982,0.516716,0.545220,11166000
2010-07-16,0.535213,0.538852,0.492456,0.493366,7878000
2010-07-19,0.508983,0.532636,0.497764,0.530665,7908000
2010-07-20,0.490789,0.532333,0.472747,0.532181,14142000
2010-07-21,0.542340,0.542340,0.496399,0.499886,10890000
2010-07-22,0.507921,0.556440,0.507921,0.545674,10308000
2010-07-23,0.541278,0.559927,0.527480,0.556136,7092000
2010-07-26,0.556440,0.579334,0.539610,0.576150,8622000
2010-07-27,0.588735,0.588735,0.557046,0.564324,10470000
2010-07-28,0.557198,0.569934,0.526116,0.535062,17106000
2010-07-29,0.541126,0.542188,0.482299,0.502615,24666000
2010-07-30,0.490941,0.496399,0.461830,0.486847,13908000
2010-08-02,0.511409,0.520052,0.493215,0.512622,19812000
2010-08-03,0.512774,0.513835,0.484269,0.497157,11742000
2010-08-04,0.498824,0.513229,0.484269,0.511712,8508000
2010-08-05,0.508831,0.515806,0.494276,0.499431,7224000
2010-08-06,0.490182,0.510348,0.481389,0.500038,7914000
2010-08-09,0.503677,0.515503,0.491244,0.508225,7584000
2010-08-10,0.492760,0.492760,0.455613,0.469259,18732000
2010-08-11,0.439087,0.439542,0.400880,0.412706,30720000
2010-08-12,0.383443,0.401637,0.369949,0.396179,27768000
2010-08-13,0.398150,0.408915,0.383443,0.384201,9888000
2010-08-16,0.380562,0.400121,0.371465,0.388144,15528000
2010-08-17,0.403154,0.416647,0.394360,0.403002,14430000
2010-08-18,0.406641,0.422561,0.398605,0.416496,10218000
2010-08-19,0.411644,0.417860,0.390114,0.395572,11196000
2010-08-20,0.399211,0.411947,0.391782,0.400121,8682000
2010-08-23,0.411492,0.413312,0.385565,0.386020,15390000
2010-08-24,0.370555,0.379047,0.357668,0.366462,13998000
2010-08-25,0.361307,0.382231,0.347964,0.377530,19578000
2010-08-26,0.384201,0.386324,0.352058,0.356000,15816000
2010-08-27,0.366765,0.381321,0.337806,0.377227,22824000
2010-08-30,0.371769,0.376772,0.349329,0.349936,11874000
2010-08-31,0.347207,0.354332,0.322795,0.327648,17046000
2010-09-01,0.340990,0.368888,0.340990,0.358123,21294000
2010-09-02,0.364187,0.381927,0.356910,0.381927,32310000
2010-09-03,0.396937,0.407096,0.379046,0.398453,39972000
2010-09-07,0.394967,0.397999,0.372982,0.376923,24540000
2010-09-08,0.378592,0.381017,0.360094,0.370707,55176000
2010-09-09,0.384656,0.385565,0.367826,0.372224,16536000
2010-09-10,0.368888,0.373588,0.341748,0.357668,50568000
2010-09-13,0.368433,0.394057,0.367978,0.393147,34164000
2010-09-14,0.389659,0.419983,0.378743,0.412402,29940000
2010-09-15,0.403912,0.410128,0.392540,0.409218,20400000
2010-09-16,0.401031,0.419377,0.398453,0.417860,15978000
2010-09-17,0.423925,0.425745,0.411644,0.418164,14418000
2010-09-20,0.418315,0.425593,0.405579,0.423167,39192000
2010-09-21,0.421651,0.431355,0.416345,0.420286,18630000
2010-09-22,0.414948,0.419042,0.393563,0.402966,25320000
2010-09-23,0.391743,0.431630,0.384160,0.410701,21150000
2010-09-24,0.429204,0.461963,0.429204,0.459536,25266000
2010-09-27,0.463024,0.464238,0.446342,0.451650,20460000
2010-09-28,0.457109,0.475309,0.438455,0.472731,25440000
2010-09-29,0.464086,0.493812,0.464086,0.483196,31692000
2010-09-30,0.490778,0.500485,0.459384,0.472731,36396000
2010-10-01,0.484258,0.487290,0.456958,0.467726,24258000
2010-10-04,0.464996,0.465299,0.432995,0.448617,25332000
2010-10-05,0.458019,0.480921,0.458019,0.476674,24222000
2010-10-06,0.476219,0.476978,0.443612,0.460294,22194000
2010-10-07,0.459233,0.466968,0.444370,0.460446,20838000
2010-10-08,0.457261,0.477584,0.442095,0.475461,29346000
2010-10-11,0.475461,0.498058,0.475461,0.484106,20370000
2010-10-12,0.478039,0.500485,0.469546,0.494418,18330000
2010-10-13,0.499120,0.504277,0.482893,0.496693,27384000
2010-10-14,0.497603,0.506703,0.483954,0.492598,19338000
2010-10-15,0.502912,0.508068,0.481224,0.503822,22374000
2010-10-18,0.501243,0.501243,0.479859,0.492143,21282000
2010-10-19,0.476674,0.497148,0.456048,0.471518,37842000
2010-10-20,0.471973,0.486683,0.462569,0.479404,24378000
2010-10-21,0.481831,0.484258,0.458929,0.472276,22062000
2010-10-22,0.472276,0.502608,0.472276,0.500333,29832000
2010-10-25,0.508068,0.525357,0.508068,0.516712,12414000
2010-10-26,0.509433,0.517926,0.493053,0.510192,10962000
2010-10-27,0.512012,0.557813,0.511860,0.557055,19632000
2010-10-28,0.558571,0.561908,0.537794,0.558420,13932000
2010-10-29,0.553870,0.573283,0.552961,0.568885,10818000
2010-11-01,0.572980,0.580410,0.549623,0.563121,19554000
2010-11-02,0.573435,0.582685,0.565700,0.574041,11472000
2010-11-03,0.579805,0.592999,0.566003,0.592999,18366000
2010-11-04,0.609227,0.649569,0.609227,0.647446,18684000
2010-11-05,0.653967,0.670347,0.645474,0.660943,18162000
2010-11-08,0.657303,0.674745,0.650024,0.661853,17436000
2010-11-09,0.661853,0.663825,0.629701,0.636678,14748000
2010-11-10,0.636071,0.639104,0.612412,0.637436,14172000
2010-11-11,0.588752,0.621814,0.565548,0.615142,24570000
2010-11-12,0.610440,0.643654,0.595729,0.613625,16152000
2010-11-15,0.627274,0.632279,0.599975,0.599975,14220000
2010-11-16,0.585264,0.604222,0.565396,0.574496,16314000
2010-11-17,0.572373,0.592847,0.565851,0.572828,7788000
2010-11-18,0.590269,0.612260,0.590269,0.604829,10518000
2010-11-19,0.600885,0.638801,0.600885,0.634251,9654000
2010-11-22,0.636071,0.659123,0.630459,0.657758,32064000
2010-11-23,0.637133,0.654270,0.633038,0.640166,22074000
2010-11-24,0.654118,0.695067,0.654118,0.691427,24210000
2010-11-26,0.681115,0.690063,0.671863,0.679902,6378000
2010-11-29,0.668527,0.678992,0.649569,0.675200,12354000
2010-11-30,0.654574,0.660488,0.643654,0.650176,14658000
2010-12-01,0.682328,0.714632,0.682328,0.712509,16272000
2010-12-02,0.716604,0.753912,0.714177,0.752548,13560000
2010-12-03,0.741476,0.767259,0.735561,0.763467,10824000
2010-12-06,0.766045,0.766045,0.740111,0.759524,11808000
2010-12-07,0.783487,0.792738,0.757097,0.758007,22344000
2010-12-08,0.766197,0.781364,0.752245,0.778785,8406000
2010-12-09,0.792283,0.797439,0.776965,0.784397,7170000
2010-12-10,0.787279,0.794254,0.776055,0.786520,7374000
2010-12-13,0.802444,0.802444,0.765894,0.771809,8994000
2010-12-14,0.771657,0.775297,0.744661,0.752092,11034000
2010-12-15,0.746330,0.759069,0.724945,0.728736,13974000
2010-12-16,0.734955,0.747846,0.720850,0.741628,5910000
2010-12-17,0.745268,0.761344,0.742841,0.756794,5250000
2010-12-20,0.753457,0.761950,0.738443,0.748150,24018000
2010-12-21,0.757704,0.771354,0.753912,0.763922,7824000
2010-12-22,0.752245,0.765894,0.739808,0.764680,10470000
2010-12-23,0.751486,0.764984,0.751486,0.758310,4158000
2010-12-27,0.744206,0.764680,0.730253,0.760585,7362000
2010-12-28,0.758310,0.765742,0.741931,0.750880,6186000
2010-12-29,0.753912,0.757552,0.744206,0.753912,3360000
2010-12-30,0.753912,0.763922,0.749970,0.760585,3732000
2010-12-31,0.754671,0.762254,0.746178,0.758159,6024000
2011-01-03,0.773022,0.800018,0.766197,0.775145,11646000
2011-01-04,0.782274,0.793648,0.753457,0.777724,10098000
2011-01-05,0.766652,0.791221,0.759069,0.785306,4482000
2011-01-06,0.792131,0.830805,0.792131,0.828833,9810000
2011-01-07,0.834142,0.845668,0.796074,0.834293,21936000
2011-01-10,0.829592,0.865232,0.818976,0.860531,9960000
2011-01-11,0.875091,0.875091,0.851128,0.870086,9942000
2011-01-12,0.887072,0.919073,0.870996,0.918921,9696000
2011-01-13,0.919830,0.933480,0.900721,0.918617,8448000
2011-01-14,0.931812,0.993690,0.928172,0.993690,18042000
2011-01-18,0.982771,0.993690,0.966998,0.982013,13842000
2011-01-19,0.957746,0.962144,0.906940,0.913613,14754000
2011-01-20,0.895868,0.895868,0.846730,0.880399,18720000
2011-01-21,0.909973,0.912248,0.862199,0.865232,12576000
2011-01-24,0.874787,0.929689,0.873574,0.927717,12990000
2011-01-25,0.915736,0.926200,0.886617,0.908305,13026000
2011-01-26,0.926655,0.938637,0.900721,0.933480,16392000
2011-01-27,0.952286,0.990353,0.952286,0.985045,19854000
2011-01-28,1.004610,1.004610,0.882825,0.905271,36168000
2011-01-31,0.913006,0.928627,0.879641,0.915585,12234000
2011-02-01,0.942732,0.994903,0.941215,0.981861,22254000
2011-02-02,0.971093,1.011890,0.961841,0.998543,18420000
2011-02-03,0.998998,1.005368,0.968818,0.999605,10446000
2011-02-04,1.008857,1.061029,1.003700,1.058754,16854000
2011-02-07,1.070128,1.084385,1.037521,1.047834,21102000
2011-02-08,1.048137,1.054051,1.021141,1.045407,8292000
2011-02-09,1.031909,1.047076,1.012345,1.025540,12252000
2011-02-10,0.991870,1.036762,0.981558,1.034336,12342000
2011-02-11,1.027359,1.068460,1.010525,1.057996,8436000
2011-02-14,1.070431,1.106679,1.066033,1.082110,15360000
2011-02-15,1.080138,1.081351,1.037217,1.051171,14406000
2011-02-16,1.073616,1.094090,1.060422,1.084385,10158000
2011-02-17,1.078015,1.137466,1.069218,1.132158,15246000
2011-02-18,1.142774,1.142926,1.106982,1.119115,13470000
2011-02-22,1.061332,1.068611,0.978221,0.985804,40812000
2011-02-23,0.995813,0.995813,0.893290,0.932874,35844000
2011-02-24,0.945462,0.985198,0.923774,0.978979,41208000
2011-02-25,1.010980,1.054962,1.007492,1.052991,38130000
2011-02-28,1.075285,1.075285,0.987472,1.021141,38628000
2011-03-01,1.034791,1.041616,0.958049,0.960173,37800000
2011-03-02,0.958656,1.036156,0.958353,1.001122,51600000
2011-03-03,1.037217,1.068460,1.034942,1.059208,33474000
2011-03-04,1.051473,1.059815,1.005065,1.025842,31500000
2011-03-07,1.027511,1.041161,0.911035,0.940912,50460000
2011-03-08,0.948799,0.974581,0.916949,0.945917,26598000
2011-03-09,0.929234,0.929234,0.856436,0.861592,66846000
2011-03-10,0.818672,0.834142,0.791979,0.796378,60888000
2011-03-11,0.781212,0.825801,0.779695,0.817611,37662000
2011-03-14,0.813971,0.845972,0.798501,0.814274,37458000
2011-03-15,0.732376,0.801079,0.711902,0.784699,39852000
2011-03-16,0.787278,0.811696,0.717514,0.734045,35268000
2011-03-17,0.766500,0.788189,0.752548,0.760889,37530000
2011-03-18,0.798956,0.798956,0.759069,0.768472,32274000
2011-03-21,0.795923,0.825193,0.792283,0.808208,39534000
2011-03-22,0.813819,0.813819,0.785003,0.789249,24156000
2011-03-23,0.783790,0.815184,0.764377,0.810634,25218000
2011-03-24,0.839147,0.876001,0.827014,0.870389,44664000
2011-03-25,0.878427,0.891925,0.861592,0.863109,31548000
