Date,Open,High,Low,Close,Volume
2001-07-13,19.789297,20.142384,19.318514,19.885096,603300
2001-07-16,19.529277,19.584020,18.732779,18.732779,180000
2001-07-17,18.598659,19.501905,18.584974,19.501905,287100
2001-07-18,18.913423,19.053015,18.694454,18.694454,301800
2001-07-19,19.816673,19.898787,19.488220,19.488220,405000
2001-07-20,19.091334,19.406101,19.091334,19.392416,360000
2001-07-23,19.501901,19.501901,18.803938,18.803938,195300
2001-07-24,18.694458,18.694458,18.283892,18.297577,150300
2001-07-25,18.229150,18.571288,17.969124,17.969124,179100
2001-07-26,18.762886,19.830358,18.694457,19.638762,281700
2001-07-27,19.844043,20.309351,19.844043,20.093119,121500
2001-07-30,20.197122,20.402405,20.060267,20.227230,7800
2001-07-31,20.637796,20.637796,20.227230,20.227230,152100
2001-08-01,21.007308,21.541046,21.007308,21.281021,28500
2001-08-02,21.814757,21.883184,21.664215,21.691587,64800
2001-08-03,21.691600,21.691600,21.281033,21.417887,9600
2001-08-06,20.952568,21.116795,20.911512,21.034681,21900
2001-08-07,20.692548,20.708969,20.528320,20.708969,18600
2001-08-08,20.621380,20.952570,20.473576,20.473576,18900
2001-08-09,19.707187,19.912470,19.707187,19.912470,3000
2001-08-10,19.871410,19.980892,19.871410,19.953522,12600
2001-08-13,20.391466,20.473580,20.281983,20.432524,24300
2001-08-14,20.583056,20.583056,20.514627,20.514627,4200
2001-08-15,20.186181,20.186181,19.712662,19.712662,6300
2001-08-16,19.159772,19.460855,18.968175,19.460855,13500
2001-08-17,19.159767,19.159767,18.776573,18.776573,1500
2001-08-20,18.886047,19.009217,18.762877,18.981846,32700
2001-08-21,18.968170,18.968170,18.502861,18.502861,4200
2001-08-22,18.664350,19.077654,18.475490,19.077654,8400
2001-08-23,19.189877,19.430743,19.140608,19.173454,3000
2001-08-24,19.507375,20.104066,19.433475,20.000055,1200
2001-08-27,20.117747,20.635060,20.117747,20.446199,12300
2001-08-28,20.076705,20.158817,19.967220,19.967220,3000
2001-08-29,20.063006,20.063006,19.269245,19.269245,900
2001-08-30,18.516539,18.749193,18.475483,18.749193,3600
2001-08-31,18.612344,19.017435,18.612344,18.842260,6000
2001-09-04,18.776569,19.014699,18.338631,18.338631,3300
2001-09-05,18.267465,18.267465,17.681723,17.709095,22500
2001-09-06,17.517498,17.791211,16.805851,16.887964,792000
2001-09-07,16.737422,17.429911,16.737422,17.011133,9900
2001-09-10,16.926283,17.172623,16.926283,16.994711,3900
2001-09-17,15.601529,16.088734,15.437302,15.437302,24600
2001-09-18,15.396242,15.524887,15.193695,15.524887,1200
2001-09-19,14.060525,14.219278,13.056006,14.219278,40200
2001-09-20,13.589748,14.014001,13.302353,13.302353,51000
2001-09-21,12.426479,13.220242,12.426479,12.659134,11400
2001-09-24,13.411832,13.918199,13.411832,13.918199,28500
2001-09-25,14.150858,14.150858,13.548694,13.548694,12900
2001-09-26,13.877144,13.877144,13.138125,13.165496,9600
2001-09-27,12.590698,12.768611,12.286880,12.768611,3600
2001-09-28,13.069697,13.274981,12.837042,13.124438,14400
2001-10-01,12.919153,12.919153,12.686500,12.686500,5100
2001-10-02,12.932843,12.932843,12.453849,12.453849,12900
2001-10-03,12.316988,13.781340,12.289617,13.644485,12900
2001-10-04,13.959258,14.763968,13.658176,14.438251,22800
2001-10-05,14.232969,14.616164,13.658176,14.525841,23700
2001-10-08,14.232975,15.245708,14.205605,15.108851,49200
2001-10-09,14.753016,14.753016,14.383506,14.424563,22200
2001-10-10,14.397197,15.245702,14.301399,15.245702,28200
2001-10-11,15.817751,16.649833,15.817751,16.597828,62100
2001-10-12,16.203685,16.436339,15.820490,16.313169,26400
2001-10-15,16.189993,16.189993,15.864276,15.971025,7800
2001-10-16,16.231055,16.463709,16.012087,16.463709,6600
2001-10-17,16.874284,16.915341,15.793126,15.793126,15000
2001-10-18,15.396238,15.505722,15.026728,15.218326,13200
2001-10-19,14.903566,15.338767,14.903566,15.338767,6900
2001-10-22,15.204637,16.094198,15.204637,16.094198,23100
2001-10-23,16.258424,16.493815,15.987450,16.025770,4500
2001-10-24,16.477396,16.666256,16.400756,16.529400,16800
2001-10-25,16.176307,17.243778,15.971024,17.243778,10200
2001-10-26,17.353276,17.394332,17.079565,17.309483,22500
2001-10-29,16.764793,16.764793,16.354227,16.354227,7500
2001-10-30,15.752061,15.752061,15.336021,15.368867,16800
2001-10-31,15.960080,16.460971,15.935447,15.935447,8100
2001-11-01,16.244739,16.953651,16.244739,16.915331,3612900
2001-11-02,17.230103,17.241052,16.835958,17.079561,2115300
2001-11-05,17.695406,17.761097,17.599608,17.761097,2100
2001-11-06,17.408014,18.297573,17.408014,18.256517,13500
2001-11-07,18.114179,18.587699,18.081334,18.387890,144000
2001-11-08,18.612345,19.028384,17.873325,17.889748,627300
2001-11-09,18.070401,18.229154,17.862380,18.034819,207900
2001-11-12,17.681724,18.489171,17.654353,18.385160,76800
2001-11-13,19.077655,19.269253,18.864160,19.200825,18900
2001-11-14,19.707182,19.707182,18.858679,19.296616,60900
2001-11-15,19.200825,19.365051,18.927114,19.105026,200400
2001-11-16,19.228190,19.269246,18.886050,19.036591,24600
2001-11-19,19.233666,19.250089,18.680771,18.957218,24300
2001-11-20,18.708139,18.749195,17.881533,17.881533,29100
2001-11-21,17.804894,18.105976,17.665301,18.105976,42300
2001-11-23,18.105984,18.450860,18.105984,18.407068,13200
2001-11-26,18.667081,19.159759,18.667081,19.148811,9300
2001-11-27,18.721820,19.622330,18.604126,19.167969,43500
2001-11-28,18.899736,18.899736,18.313995,18.313995,18600
2001-11-29,18.420739,18.842255,18.242828,18.814884,19200
2001-11-30,18.584966,18.647918,18.344100,18.568542,50400
2001-12-03,18.366003,18.593183,18.242834,18.324947,10500
2001-12-04,18.626026,19.228191,18.626026,19.228191,14400
2001-12-05,19.775615,20.911517,19.775615,20.760975,33000
2001-12-06,20.624115,20.886877,20.407883,20.624115,28500
2001-12-07,20.473573,20.473573,19.707183,19.885096,19200
2001-12-10,19.816679,19.816679,19.425273,19.460855,132000
2001-12-11,19.816675,20.063014,19.655186,19.668871,30600
2001-12-12,19.885108,19.961747,19.501912,19.611397,4800
